"DragonFlyBSD (amd64)","1"
"HP-UX (PA_RISC2.0W)","1"
"Linux (s390)","1"
"NetBSD (i386)","1"
"OS/400 (ppc)","1"
"OpenBSD (aarch64)","1"
"QNX (amd64)","1"
"Windows XP (amd64)","1"
"NONSTOP_KERNEL (amd64)","2"
"NetBSD (amd64)","2"
"HP-UX (ia64)","4"
"NONSTOP_KERNEL (IA64N)","4"
"Windows Server 2016 Standard (amd64)","4"
"FreeBSD (aarch64)","5"
"Linux (e2k)","6"
"NONSTOP_KERNEL (x86_64N)","6"
"HP-UX (PA_RISC2.0)","7"
"Windows 2003 (amd64)","9"
"OS400 (ppc64)","10"
"FreeBSD (i386)","11"
"Linux (ppc)","11"
"Windows Server version 2009 (amd64)","16"
"Windows 11 (aarch64)","20"
"Linux (x86)","23"
"OpenBSD (amd64)","28"
"HP-UX (IA64W)","32"
"AIX (ppc)","35"
"SunOS (sparc)","36"
"Linux (mips64el)","38"
"Linux (sw64)","38"
"Windows 8 (x86)","38"
"Windows Vista (x86)","41"
"Linux (ppc64)","43"
"Linux (riscv64)","47"
"SunOS (x86)","49"
"Windows Server 2008 (x86)","53"
"Windows 8 (amd64)","56"
"Windows Server 2008 (amd64)","64"
"Windows 2003 (x86)","81"
"Windows XP (x86)","86"
"OS/400 (ppc64)","87"
"Linux (loongarch64)","96"
"Windows Server 2012 (x86)","163"
"Windows Server 2022 (x86)","166"
"HP-UX (IA64N)","167"
"Windows 8.1 (x86)","186"
"z/OS (s390x)","217"
"Linux (s390x)","292"
"SunOS (amd64)","292"
"Windows 8.1 (amd64)","306"
"Windows 11 (x86)","428"
"Windows NT (unknown) (x86)","431"
"Windows Server 2008 R2 (x86)","515"
"Windows Server 2012 (amd64)","547"
"Linux (ppc64le)","565"
"FreeBSD (amd64)","598"
"SunOS (sparcv9)","693"
"Windows NT (unknown) (amd64)","1096"
"Windows 7 (x86)","1151"
"Linux (arm)","1405"
"Windows Server 2019 (x86)","1417"
"Windows Server 2012 R2 (x86)","1439"
"AIX (ppc64)","1574"
"Windows Server 2008 R2 (amd64)","1866"
"Windows 7 (amd64)","2553"
"Windows Server 2016 (x86)","2954"
"Linux (i386)","2967"
"Windows 10 (x86)","5076"
"Windows Server 2012 R2 (amd64)","8139"
"Mac OS X (aarch64)","11530"
"Windows Server 2022 (amd64)","13531"
"Linux (aarch64)","14397"
"Windows 11 (amd64)","15230"
"Mac OS X (x86_64)","17983"
"Windows Server 2016 (amd64)","31390"
"Windows Server 2019 (amd64)","33539"
"Windows 10 (amd64)","68644"
"N/A","363506"
"Linux (amd64)","618919"
